strategy,train_noise,eval_noise,eval_set,case,mean,ci_lo,ci_hi,n_ep
l1l4_baseline,0.03,0.0,lvl_1_4,all,0.305,0.24,0.37,200
l1l4_baseline,0.03,0.01,lvl_1_4,all,0.365,0.3,0.435,200
l1l4_baseline,0.03,0.03,lvl_1_4,all,0.56,0.495,0.63,200
naive_random,0.03,0.0,lvl_1_4,all,0.28,0.22,0.345,200
naive_random,0.03,0.01,lvl_1_4,all,0.295,0.235,0.36,200
naive_random,0.03,0.03,lvl_1_4,all,0.295,0.235,0.36,200
ours_l1l5_solverl5,0.03,0.0,lvl_1_4,all,0.575,0.505,0.645,200
ours_l1l5_solverl5,0.03,0.01,lvl_1_4,all,0.6019900497512438,0.5323383084577115,0.6666666666666666,201
ours_l1l5_solverl5,0.03,0.03,lvl_1_4,all,0.595,0.525,0.66,200
random_bresenham,0.03,0.0,lvl_1_4,all,0.93,0.89,0.965,200
random_bresenham,0.03,0.01,lvl_1_4,all,0.925,0.885,0.96,200
random_bresenham,0.03,0.03,lvl_1_4,all,0.895,0.85,0.935,200
