num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,cumulative_episodes,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/policy_reward_min/shared_policy,env_runners/policy_reward_max/shared_policy,env_runners/policy_reward_mean/shared_policy,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,env_runners/hist_stats/policy_shared_policy_reward,env_runners/sampler_perf/mean_raw_obs_processing_ms,env_runners/sampler_perf/mean_inference_ms,env_runners/sampler_perf/mean_action_processing_ms,env_runners/sampler_perf/mean_env_wait_ms,env_runners/sampler_perf/mean_env_render_ms,env_runners/connector_metrics/ObsPreprocessorConnector_ms,env_runners/connector_metrics/StateBufferConnector_ms,env_runners/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/shared_policy/num_agent_steps_trained,info/learner/shared_policy/num_grad_updates_lifetime,info/learner/shared_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
1,0,0,434,434,217,217,217,217,7.800847233660094,7.800847233660094,217,217,434,217,434,False,1,93fdf_00000,2025-10-27_16-07-38,1761577658,27.82123899459839,27.82123899459839,53642,MacBookPro.lan,127.0.0.1,27.82123899459839,1,0,217,217,434,434,0.5,-2.5,-1.1666666666666667,72.33333333333333,217,0,3,0.5,-2.5,-1.1666666666666667,3,27817.505,0.018,27817.443,27694.344,108.977,1991.244,13.793,217,217,434,434,26.027499999999996,82.8025,-1.5,0.5,-0.5833333333333334,"[-2.5, -1.5, 0.5]","[39, 78, 100]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0]",0.3360455189276179,0.6909906317334656,0.1245474596636011,125.81955183536634,0.0,0.022840499877929688,0.004267692565917969,0.12338956197102864,144.66666666666666,15.5,14.5,0.0,1.0833927,0.20000000000000007,0.0003,0.4132374352465073,0.007610138839421173,0.4064639573295911,0.05473728775978089,0.010141854267567396,2.8650304079055786,0.0010000000000000002
1,0,0,946,946,473,473,256,256,7.878405419439153,7.878405419439153,473,473,946,256,946,False,2,93fdf_00000,2025-10-27_16-08-10,1761577690,32.498724937438965,60.31996393203735,53642,MacBookPro.lan,127.0.0.1,60.31996393203735,2,0,473,473,946,946,0.5,-2.5,-1.0833333333333333,78.83333333333333,473,0,3,0.5,-2.5,-1.0833333333333333,3,30155.7,0.022,30155.641,30052.657,93.119,2539.773,9.604,473,473,946,946,28.11304347826087,83.22608695652175,-1.5,0.5,-0.5416666666666666,"[-2.5, -1.5, 0.5, -1.0, -2.0, 0.0]","[39, 78, 100, 100, 47, 109]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0, -0.5, -0.5, -0.5, -1.5, 0.0, 0.0]",0.33923270039426806,0.6889626801980707,0.12380860941162629,125.70494440602072,0.0,0.02357165018717448,0.004470348358154297,0.1285990079243978,170.66666666666666,45.5,14.5,0.0,0.78431565,0.20000000000000007,0.0003,0.30157922009627025,-0.008593817458798487,0.3116246754924456,0.1273442288239797,0.0073297499987044525,2.9175903240839642,0.0010000000000000002
1,0,0,1784,1784,892,892,419,419,7.608779569445414,7.608779569445414,892,892,1784,419,1784,False,3,93fdf_00000,2025-10-27_16-09-06,1761577746,55.073086977005005,115.39305090904236,53642,MacBookPro.lan,127.0.0.1,115.39305090904236,3,0,892,892,1784,1784,6.5,-2.5,0.0,127.42857142857143,892,0,1,6.5,-2.5,0.0,1,38459.79,0.017,38459.741,38341.021,108.823,2732.266,9.625,892,892,1784,1784,29.059493670886074,81.88481012658228,-1.5,3.5,0.0,"[-2.5, -1.5, 0.5, -1.0, -2.0, 0.0, 6.5]","[39, 78, 100, 100, 47, 109, 419]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0, -0.5, -0.5, -0.5, -1.5, 0.0, 0.0, 3.5, 3.0]",0.33974677641123713,0.6880573684902085,0.12363553321813485,125.97646194611829,0.0,0.022724696568080356,0.004417555672781808,0.12765952519008092,167.6,85.5,24.5,0.0,0.633101,0.19999999999999996,0.0003,0.07279387403978035,-0.012529016936896368,0.08747605159878731,0.3173889708518982,0.00414477911150243,2.9821136236190795,0.001
1,0,0,2280,2280,1140,1140,248,248,7.587527604871669,7.587527604871669,1140,1140,2280,248,2280,False,4,93fdf_00000,2025-10-27_16-09-38,1761577778,32.69082188606262,148.08387279510498,53642,MacBookPro.lan,127.0.0.1,148.08387279510498,4,0,1140,1140,2280,2280,6.5,-2.5,0.5,142.5,1140,0,1,6.5,-2.5,0.5,1,37016.149,0.027,37016.095,36906.742,100.786,2827.766,8.339,1140,1140,2280,2280,26.90434782608696,80.9717391304348,-1.5,3.5,0.25,"[-2.5, -1.5, 0.5, -1.0, -2.0, 0.0, 6.5, 4.0]","[39, 78, 100, 100, 47, 109, 419, 248]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0, -0.5, -0.5, -0.5, -1.5, 0.0, 0.0, 3.5, 3.0, 1.5, 2.5]",0.3397774552663544,0.6875388513641568,0.12347579490819542,126.25281661499208,0.0,0.022903084754943848,0.0044792890548706055,0.1282811164855957,165.33333333333334,125.5,14.5,0.0,0.55064374,0.10000000000000003,0.0003,0.09098147008723269,-0.012643264808381597,0.10577402586738269,0.6532452682654063,0.007532430499607853,2.902535152435303,0.0010000000000000002
1,0,0,2742,2742,1371,1371,231,231,7.914032651319499,7.914032651319499,1371,1371,2742,231,2742,False,5,93fdf_00000,2025-10-27_16-10-07,1761577807,29.19411301612854,177.27798581123352,53642,MacBookPro.lan,127.0.0.1,177.27798581123352,5,0,1371,1371,2742,2742,6.5,-2.5,0.8,137.1,1371,0,2,6.5,-2.5,0.8,2,35450.653,0.023,35450.605,35346.349,96.917,2829.219,7.138,1371,1371,2742,2742,27.43333333333333,80.63333333333334,-1.5,3.5,0.4,"[-2.5, -1.5, 0.5, -1.0, -2.0, 0.0, 6.5, 4.0, -1.0, 5.0]","[39, 78, 100, 100, 47, 109, 419, 248, 29, 202]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0, -0.5, -0.5, -0.5, -1.5, 0.0, 0.0, 3.5, 3.0, 1.5, 2.5, -1.0, 0.0, 2.5, 2.5]",0.33943406726658515,0.6867070339137299,0.12309755849527515,126.52644058853573,0.0,0.022656917572021484,0.004498958587646484,0.1265263557434082,154.0,155.5,14.5,0.0,0.93161684,0.10000000000000003,0.0003,0.30963989809776343,-0.016545649499554806,0.3286862149834633,0.41096046765645344,0.004536551464116301,2.9543267250061036,0.0010000000000000002
1,0,0,3268,3268,1634,1634,263,263,7.8536809498843345,7.8536809498843345,1634,1634,3268,263,3268,False,6,93fdf_00000,2025-10-27_16-10-41,1761577841,33.49213194847107,210.7701177597046,53642,MacBookPro.lan,127.0.0.1,210.7701177597046,6,0,1634,1634,3268,3268,6.5,-2.5,1.3181818181818181,148.54545454545453,1634,0,1,6.5,-2.5,1.3181818181818181,1,35123.458,0.021,35123.415,35024.38,92.541,2942.84,6.312,1634,1634,3268,3268,28.776595744680847,81.10425531914893,-1.5,4.0,0.6590909090909091,"[-2.5, -1.5, 0.5, -1.0, -2.0, 0.0, 6.5, 4.0, -1.0, 5.0, 6.5]","[39, 78, 100, 100, 47, 109, 419, 248, 29, 202, 263]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0, -0.5, -0.5, -0.5, -1.5, 0.0, 0.0, 3.5, 3.0, 1.5, 2.5, -1.0, 0.0, 2.5, 2.5, 4.0, 2.5]",0.3390358200301983,0.6861357184820551,0.12290054624978658,126.6008196443568,0.0,0.02287084406072443,0.004525618119673295,0.12805245139382102,175.33333333333334,185.5,14.5,0.0,0.9531692,0.05000000000000002,0.0003,0.13603433331009002,-0.009870503935962916,0.14871735125780106,0.7877910614013672,0.003535243259345241,2.989272419611613,0.0010000000000000002
1,0,0,3820,3820,1910,1910,276,276,7.520915508799955,7.520915508799955,1910,1910,3820,276,3820,False,7,93fdf_00000,2025-10-27_16-11-18,1761577878,36.70264911651611,247.4727668762207,53642,MacBookPro.lan,127.0.0.1,247.4727668762207,7,0,1910,1910,3820,3820,8.0,-2.5,1.875,159.16666666666666,1910,0,1,8.0,-2.5,1.875,1,35348.345,0.019,35348.304,35250.006,92.153,2960.916,5.967,1910,1910,3820,3820,25.641509433962263,80.67735849056604,-1.5,5.0,0.9375,"[-2.5, -1.5, 0.5, -1.0, -2.0, 0.0, 6.5, 4.0, -1.0, 5.0, 6.5, 8.0]","[39, 78, 100, 100, 47, 109, 419, 248, 29, 202, 263, 276]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0, -0.5, -0.5, -0.5, -1.5, 0.0, 0.0, 3.5, 3.0, 1.5, 2.5, -1.0, 0.0, 2.5, 2.5, 4.0, 2.5, 5.0, 3.0]",0.33871650553607124,0.6855007478208054,0.12272790191102495,126.71228990947684,0.0,0.022997458775838215,0.004525979359944661,0.1298069953918457,184.0,215.5,14.5,0.0,0.8308205,0.02500000000000001,0.0003,0.17281765304505825,-0.01212272645595173,0.18785963008801143,0.6772345125675201,0.003883623497070706,3.0163479248682656,0.0010000000000000002
1,0,0,4228,4228,2114,2114,204,204,7.735107447313702,7.735107447313702,2114,2114,4228,204,4228,False,8,93fdf_00000,2025-10-27_16-11-44,1761577904,26.37787413597107,273.8506410121918,53642,MacBookPro.lan,127.0.0.1,273.8506410121918,8,0,2114,2114,4228,4228,8.0,-2.5,2.076923076923077,162.6153846153846,2114,0,1,8.0,-2.5,2.076923076923077,1,34226.46,0.018,34226.421,34131.135,89.494,2952.718,5.622,2114,2114,4228,4228,26.524324324324322,80.84864864864862,-1.5,5.0,1.0384615384615385,"[-2.5, -1.5, 0.5, -1.0, -2.0, 0.0, 6.5, 4.0, -1.0, 5.0, 6.5, 8.0, 4.5]","[39, 78, 100, 100, 47, 109, 419, 248, 29, 202, 263, 276, 204]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0, -0.5, -0.5, -0.5, -1.5, 0.0, 0.0, 3.5, 3.0, 1.5, 2.5, -1.0, 0.0, 2.5, 2.5, 4.0, 2.5, 5.0, 3.0, 2.5, 2.0]",0.33836459479331804,0.6848611505237377,0.12258904383720894,126.80525823852776,0.0,0.022994554959810697,0.004597810598520132,0.12984826014592096,136.0,245.5,14.5,0.0,1.7353861,0.012500000000000004,0.0003,0.1297010830293099,0.026923352169493833,0.1056087078526616,0.8186933139959971,0.013658569126103732,3.001703715324402,0.0010000000000000002
1,0,0,4228,4228,2114,2114,0,0,0.0,0.0,2114,2114,4228,0,4228,False,9,93fdf_00000,2025-10-27_16-12-45,1761577965,60.49258613586426,334.34322714805603,53642,MacBookPro.lan,127.0.0.1,334.34322714805603,9,0,2114,2114,4228,4228,10.0,-2.5,2.642857142857143,184.71428571428572,2586,0,1,10.0,-2.5,2.642857142857143,1,37095.896,0.017,37095.858,37011.16,89.494,2952.718,5.622,2114,2114,4228,4228,27.143023255813954,80.70465116279073,-1.5,7.0,1.3214285714285714,"[-2.5, -1.5, 0.5, -1.0, -2.0, 0.0, 6.5, 4.0, -1.0, 5.0, 6.5, 8.0, 4.5, 10.0]","[39, 78, 100, 100, 47, 109, 419, 248, 29, 202, 263, 276, 204, 472]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0, -0.5, -0.5, -0.5, -1.5, 0.0, 0.0, 3.5, 3.0, 1.5, 2.5, -1.0, 0.0, 2.5, 2.5, 4.0, 2.5, 5.0, 3.0, 2.5, 2.0, 7.0, 3.0]",0.3378575180176782,0.6845634956920189,0.12245505875944014,126.87287896654186,0.0,0.022855826786586216,0.004533358982631138,0.13062272753034318,,,,,,,,,,,,,,
1,0,0,4228,4228,2114,2114,0,0,0.0,0.0,2114,2114,4228,0,4228,False,10,93fdf_00000,2025-10-27_16-13-52,1761578032,67.2256178855896,401.56884503364563,53642,MacBookPro.lan,127.0.0.1,401.56884503364563,10,0,2114,2114,4228,4228,10.0,-2.5,3.0,207.8,3117,0,1,10.0,-2.5,3.0,1,39391.908,0.016,39391.872,39315.642,89.494,2952.718,5.622,2114,2114,4228,4228,27.636458333333334,80.36770833333334,-1.5,7.0,1.5,"[-2.5, -1.5, 0.5, -1.0, -2.0, 0.0, 6.5, 4.0, -1.0, 5.0, 6.5, 8.0, 4.5, 10.0, 8.0]","[39, 78, 100, 100, 47, 109, 419, 248, 29, 202, 263, 276, 204, 472, 531]","[-1.0, -1.5, -0.5, -1.0, 0.5, 0.0, -0.5, -0.5, -0.5, -1.5, 0.0, 0.0, 3.5, 3.0, 1.5, 2.5, -1.0, 0.0, 2.5, 2.5, 4.0, 2.5, 5.0, 3.0, 2.5, 2.0, 7.0, 3.0, 5.5, 2.5]",0.3373129147231883,0.6840943367698648,0.12231317676544765,126.90549449957867,0.0,0.0228579839070638,0.004525184631347656,0.13042291005452475,,,,,,,,,,,,,,
