episode,step,agent,newly_marked,coverage_total,team_reward_share,target_total,coverage_bonus,time_penalty,proximity_penalty,collision_penalty,obsDistance_penalty,idle_penalty,reward_total,done_reason
1,0,agent_1,1,2,0.0,0,1.0,-0.002,0.0,0.0,-1.0,0.0,-0.002,
1,0,agent_2,1,2,0.0,0,1.0,-0.002,0.0,0.0,-0.6553664281964302,0.0,0.3426335718035698,
1,1,agent_1,0,2,0.0,0,0.0,-0.004,0.0,0.0,-1.0,0.0,-1.004,
1,1,agent_2,0,2,0.0,0,0.0,-0.004,0.0,0.0,-0.531250074505806,0.0,-0.535250074505806,
1,2,agent_1,0,2,0.0,0,0.0,-0.006,0.0,0.0,-1.0,0.0,-1.006,
1,2,agent_2,0,2,0.0,0,0.0,-0.006,0.0,0.0,-0.6012604236602783,0.0,-0.6072604236602783,
1,3,agent_1,0,2,0.0,0,0.0,-0.008,0.0,0.0,-1.0,0.0,-1.008,
1,3,agent_2,0,2,0.0,0,0.0,-0.008,0.0,0.0,-0.7445774637162685,0.0,-0.7525774637162685,
1,4,agent_1,1,3,0.0,0,1.0,-0.01,0.0,0.0,-1.0,0.0,-0.01,
1,4,agent_2,0,3,0.0,0,0.0,-0.01,0.0,0.0,-0.7046222165226936,0.0,-0.7146222165226936,
1,5,agent_1,0,3,0.0,0,0.0,-0.012,0.0,0.0,-1.0,0.0,-1.012,
1,5,agent_2,0,3,0.0,0,0.0,-0.012,0.0,0.0,-0.6747548133134842,0.0,-0.6867548133134842,
1,6,agent_1,0,3,0.0,0,0.0,-0.014,0.0,0.0,-1.0,0.0,-1.014,
1,6,agent_2,0,3,0.0,0,0.0,-0.014,0.0,0.0,-0.6953437477350235,0.0,-0.7093437477350235,
1,7,agent_1,0,3,0.0,0,0.0,-0.016,0.0,0.0,-1.0,0.0,-1.016,
1,7,agent_2,0,3,0.0,0,0.0,-0.016,0.0,0.0,-0.4791587814688683,0.0,-0.4951587814688683,
1,8,agent_1,0,3,0.0,0,0.0,-0.018000000000000002,0.0,0.0,-1.0,0.0,-1.018,
1,8,agent_2,0,3,0.0,0,0.0,-0.018000000000000002,0.0,0.0,-0.14785675704479223,0.0,-0.16585675704479225,
1,9,agent_1,0,3,0.0,0,0.0,-0.02,0.0,0.0,-1.0,-0.3,-1.32,
1,9,agent_2,0,3,0.0,0,0.0,-0.02,0.0,0.0,-0.1818153858184815,-0.3,-0.5018153858184815,
1,10,agent_1,0,3,0.0,0,0.0,-0.022,0.0,0.0,-1.0,-0.3,-1.322,
1,10,agent_2,0,3,0.0,0,0.0,-0.022,0.0,0.0,-0.011231586337089594,-0.3,-0.3332315863370896,
1,11,agent_1,0,3,0.0,0,0.0,-0.024,0.0,0.0,-1.0,-0.3,-1.324,
1,11,agent_2,0,3,0.0,0,0.0,-0.024,0.0,0.0,-0.44510392844676977,-0.3,-0.7691039284467698,
1,12,agent_1,0,3,0.0,0,0.0,-0.026000000000000002,0.0,0.0,-1.0,-0.3,-1.326,
1,12,agent_2,0,3,0.0,0,0.0,-0.026000000000000002,0.0,0.0,-0.453900121152401,-0.3,-0.779900121152401,
1,13,agent_1,0,3,0.0,0,0.0,-0.028,0.0,0.0,-1.0,-0.3,-1.328,
1,13,agent_2,0,3,0.0,0,0.0,-0.028,0.0,0.0,-0.7021166980266571,-0.3,-1.0301166980266572,
1,14,agent_1,0,3,0.0,0,0.0,-0.03,0.0,0.0,-1.0,-0.3,-1.33,
1,14,agent_2,0,3,0.0,0,0.0,-0.03,0.0,0.0,-0.5897246524691582,-0.3,-0.9197246524691582,
1,15,agent_1,0,3,0.0,0,0.0,-0.032,0.0,-50.0,-1.0,-0.3,-51.332,collision
1,15,agent_2,0,3,0.0,0,0.0,-0.032,0.0,-50.0,-0.548911526799202,-0.3,-50.8809115267992,collision
2,0,agent_1,1,2,0.0,0,1.0,-0.002,0.0,0.0,-0.8572461772710085,-0.3,-0.15924617727100848,
2,0,agent_2,1,2,0.0,0,1.0,-0.002,0.0,0.0,-0.6015577763319016,-0.3,0.09644222366809846,
2,1,agent_1,0,2,0.0,0,0.0,-0.004,0.0,0.0,-1.0,-0.3,-1.304,
2,1,agent_2,0,2,0.0,0,0.0,-0.004,0.0,0.0,-0.5759837329387665,-0.3,-0.8799837329387665,
2,2,agent_1,0,2,0.0,0,0.0,-0.006,0.0,0.0,-0.7647833079099655,-0.3,-1.0707833079099656,
2,2,agent_2,0,2,0.0,0,0.0,-0.006,0.0,0.0,-0.5534461364150047,-0.3,-0.8594461364150048,
2,3,agent_1,0,2,0.0,0,0.0,-0.008,0.0,0.0,-0.8555996920913458,-0.3,-1.1635996920913458,
2,3,agent_2,0,2,0.0,0,0.0,-0.008,0.0,0.0,-0.5557592436671257,-0.3,-0.8637592436671258,
2,4,agent_1,0,2,0.0,0,0.0,-0.01,0.0,0.0,-0.9911305389832705,-0.3,-1.3011305389832706,
2,4,agent_2,0,2,0.0,0,0.0,-0.01,0.0,0.0,-0.5733124017715454,-0.3,-0.8833124017715455,
2,5,agent_1,0,2,0.0,0,0.0,-0.012,0.0,0.0,-1.0,-0.3,-1.312,
2,5,agent_2,0,2,0.0,0,0.0,-0.012,0.0,0.0,-0.5231486856937408,-0.3,-0.8351486856937409,
